language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
SLOVAK	slk	road	667	road	tsEsta	road:L	road:L	
ENGLISH	eng	road	667	road	r3ud	road:W	road:W	
ASSAMESE	asm	road	667	road	bat	road:Q	road:Q	
BRETON	bre	road	667	road	hent	road:I	road:I	
ITALIAN	ita	road	667	road	strada	road:P	road:P	
ELFDALIAN	qov	road	667	road	wEg	road:B	road:B	
FAROESE	fao	road	667	road	vevur	road:B	road:B	
UKRAINIAN	ukr	road	667	road	doroha	road:K	road:K	
CZECH	ces	road	667	road	tsEsta	road:L	road:L	
STAVANGERSK		road	667	road	wEi	road:B	road:B	
NORWEGIAN_RIKSMAL	nor	road	667	road	wEi	road:B	road:B	
OLD_NORSE	non	road	667	road	gata	road:V	road:V	
SPANISH	spa	road	667	road	kamino	road:H	road:H	
OLD_CHURCH_SLAVONIC	chu	road	667	road	poti	road:J	road:J	
PORTUGUESE	por	road	667	road	3Strada	road:P	road:P	
OLD_IRISH	sga	road	667	road	bo83r	road:O	road:O	
IRISH	gle	road	667	road	boh3r	road:O	road:O	
MIDDLE_BRETON		road	667	road	hent	road:I	road:I	
GERMAN	deu	road	667	road	lantStras3	road:P	road:P	
DANISH_FJOLDE		road	667	road	vEy	road:B	road:B	
OSSETIC	oss	road	667	road	fEndag	road:J	road:J	
MACEDONIAN	mkd	road	667	road	pat	road:J	road:J	
LATIN	lat	road	667	road	wia	road:R	road:R	
FRENCH	fra	road	667	road	S3mE	road:H	road:H	
URDU	urd	road	667	road	s3r3k	road:G	road:G	
POLISH	pol	road	667	road	droga	road:K	road:K	
FRISIAN	frs	road	667	road	pat	road:M	road:M	
BULGARIAN	bul	road	667	road	pot	road:J	road:J	
CLASSICAL_ARMENIAN	xcl	road	667	road	Canaparh	road:E	road:E	
ARMENIAN_EASTERN	hye	road	667	road	Camph~a	road:E	road:E	
SORBIAN_LOWER	dsb	road	667	road	droga	road:K	road:K	
CATALAN	cat	road	667	road	k3mi	road:H	road:H	
SERBO-CROATIAN	srp	road	667	road	put	road:J	road:J	
RUSSIAN	rus	road	667	road	daroga	road:K	road:K	
MIDDLE_CORNISH	cor	road	667	road	for8	road:U	road:U	
SWEDISH	swe	river	666	river	flud	river:P	river:P	
DANISH	dan	river	666	river	flo"8	river:P	river:P	
GUTNISH_LAU		river	666	river	a	river:O	river:O	
OSSETIC_IRON	oss	river	666	river	don	river:I	river:I	
BIHARI	mai	river	666	river	dhar	river:A	river:A	
DUTCH	nld	river	666	river	rivir	river:F	river:F	
MARATHI	mar	river	666	river	n3di	river:E	river:E	
SORBIAN_UPPER	hsb	river	666	river	rika	river:H	river:H	
ORIYA	ori	river	666	river	nodi	river:E	river:E	
SLOVENIAN	slv	river	666	river	reka	river:H	river:H	
BELARUSIAN	bel	river	666	river	raka	river:H	river:H	
ANCIENT_GREEK	grc	river	666	river	potamos	river:K	river:K	
GREEK	ell	river	666	river	potami	river:K	river:K	
OLD_SWEDISH		river	666	river	Elf	river:N	river:N	
ICELANDIC	isl	river	666	river	flyouth~	river:R	river:R	
SLOVAK	slk	river	666	river	riEka	river:H	river:H	
ENGLISH	eng	river	666	river	riv3	river:F	river:F	
ASSAMESE	asm	river	666	river	nodi	river:E	river:E	
ITALIAN	ita	river	666	river	fyume	river:J	river:J	
ELFDALIAN	qov	river	666	river	EvE	river:N	river:N	
FAROESE	fao	river	666	river	oa	river:O	river:O	
UKRAINIAN	ukr	river	666	river	ry~ika	river:H	river:H	
CZECH	ces	river	666	river	rEka	river:H	river:H	
STAVANGERSK		river	666	river	o	river:O	river:O	
NORWEGIAN_RIKSMAL	nor	river	666	river	o	river:O	river:O	
OLD_NORSE	non	river	666	river	elfr	river:N	river:N	
SPANISH	spa	river	666	river	rio	river:H	river:H	
MAGAHI	mag	river	666	river	n3di	river:E	river:E	
OLD_CHURCH_SLAVONIC	chu	river	666	river	rEka	river:H	river:H	
PORTUGUESE	por	river	666	river	riu	river:H	river:H	
OLD_IRISH	sga	river	666	river	aub	river:L	river:L	
IRISH	gle	river	666	river	3uny~	river:L	river:L	
MIDDLE_BRETON		river	666	river	avon	river:L	river:L	
GERMAN	deu	river	666	river	flus	river:P	river:P	
DANISH_FJOLDE		river	666	river	fluo	river:P	river:P	
OSSETIC	oss	river	666	river	cEwgEdon	river:I	river:I	
MACEDONIAN	mkd	river	666	river	reka	river:H	river:H	
LATIN	lat	river	666	river	flumen	river:J	river:J	
FRENCH	fra	river	666	river	rivyEr	river:F	river:F	
URDU	urd	river	666	river	d3rya	river:A	river:A	
POLISH	pol	river	666	river	ZEka	river:H	river:H	
FRISIAN	frs	river	666	river	r3vi3r	river:F	river:F	
BULGARIAN	bul	river	666	river	r3ka	river:H	river:H	
CLASSICAL_ARMENIAN	xcl	river	666	river	get	river:D	river:D	
ARMENIAN_EASTERN	hye	river	666	river	gEt	river:D	river:D	
SORBIAN_LOWER	dsb	river	666	river	rika	river:H	river:H	
CATALAN	cat	river	666	river	riw	river:H	river:H	
SERBO-CROATIAN	srp	river	666	river	ryEka	river:H	river:H	
RUSSIAN	rus	river	666	river	ry~Eka	river:H	river:H	
OSSETIC_DIGOR	oss	river	666	river	don	river:I	river:I	
MIDDLE_CORNISH	cor	river	666	river	avon	river:L	river:L	
SWEDISH	swe	sing	1261	sing	S3Na	sing:B	sing:B	
DANISH	dan	sing	1261	sing	seN3	sing:B	sing:B	
GUTNISH_LAU		sing	1261	sing	siNgE	sing:B	sing:B	
OSSETIC_IRON	oss	sing	1261	sing	Sar	sing:A	sing:A	
BIHARI	mai	sing	1261	sing	gae3b	sing:F	sing:F	
DUTCH	nld	sing	1261	sing	ziN3n	sing:B	sing:B	
MARATHI	mar	sing	1261	sing	gane	sing:F	sing:F	
SORBIAN_UPPER	hsb	sing	1261	sing	spiwatS	sing:G	sing:G	
ORIYA	ori	sing	1261	sing	ga	sing:F	sing:F	
SLOVENIAN	slv	sing	1261	sing	peti	sing:G	sing:G	
BELARUSIAN	bel	sing	1261	sing	sy~py~avatsy~	sing:G	sing:G	
ANCIENT_GREEK	grc	sing	1261	sing	aydo	sing:L	sing:L	
GREEK	ell	sing	1261	sing	traxu8o	sing:H	sing:H	
OLD_SWEDISH		sing	1261	sing	kvE8a	sing:J	sing:J	
ICELANDIC	isl	sing	1261	sing	si5Ta	sing:B	sing:B	
SLOVAK	slk	sing	1261	sing	spiEvaT	sing:G	sing:G	
ENGLISH	eng	sing	1261	sing	siN	sing:B	sing:B	
ASSAMESE	asm	sing	1261	sing	ga	sing:F	sing:F	
ITALIAN	ita	sing	1261	sing	kantare	sing:D	sing:D	
ELFDALIAN	qov	sing	1261	sing	kwE8o	sing:J	sing:J	
FAROESE	fao	sing	1261	sing	kvea	sing:J	sing:J	
UKRAINIAN	ukr	sing	1261	sing	spiwati	sing:G	sing:G	
CZECH	ces	sing	1261	sing	spivat	sing:G	sing:G	
STAVANGERSK		sing	1261	sing	siNa	sing:B	sing:B	
NORWEGIAN_RIKSMAL	nor	sing	1261	sing	siN3	sing:B	sing:B	
OLD_NORSE	non	sing	1261	sing	gala	sing:R	sing:R	
SPANISH	spa	sing	1261	sing	kantar	sing:D	sing:D	
OLD_CHURCH_SLAVONIC	chu	sing	1261	sing	pEti	sing:G	sing:G	
PORTUGUESE	por	sing	1261	sing	katar	sing:D	sing:D	
OLD_IRISH	sga	sing	1261	sing	kan38	sing:D	sing:D	
IRISH	gle	sing	1261	sing	kan	sing:D	sing:D	
GERMAN	deu	sing	1261	sing	ziN3n	sing:B	sing:B	
DANISH_FJOLDE		sing	1261	sing	kveE	sing:J	sing:J	
OSSETIC	oss	sing	1261	sing	zar3n	sing:A	sing:A	
MACEDONIAN	mkd	sing	1261	sing	peE	sing:G	sing:G	
LATIN	lat	sing	1261	sing	kanere	sing:D	sing:D	
FRENCH	fra	sing	1261	sing	Sate	sing:D	sing:D	
URDU	urd	sing	1261	sing	gan3	sing:F	sing:F	
POLISH	pol	sing	1261	sing	SpyEvatS	sing:G	sing:G	
FRISIAN	frs	sing	1261	sing	syoN3	sing:B	sing:B	
BULGARIAN	bul	sing	1261	sing	pEy3	sing:G	sing:G	
CLASSICAL_ARMENIAN	xcl	sing	1261	sing	ergem	sing:E	sing:E	
ARMENIAN_EASTERN	hye	sing	1261	sing	yErkh~El	sing:E	sing:E	
SORBIAN_LOWER	dsb	sing	1261	sing	spiwaS	sing:G	sing:G	
SERBO-CROATIAN	srp	sing	1261	sing	pyEvati	sing:G	sing:G	
RUSSIAN	rus	sing	1261	sing	py~Ety~	sing:G	sing:G	
OSSETIC_DIGOR	oss	sing	1261	sing	zar	sing:A	sing:A	
MIDDLE_CORNISH	cor	sing	1261	sing	kana	sing:D	sing:D	
SWEDISH	swe	narrow	1267	narrow	smal	narrow:E	narrow:E	
DANISH	dan	narrow	1267	narrow	smal"	narrow:E	narrow:E	
GUTNISH_LAU		narrow	1267	narrow	traNgar	narrow:O	narrow:O	
OSSETIC_IRON	oss	narrow	1267	narrow	narag	narrow:P	narrow:P	
BIHARI	mai	narrow	1267	narrow	s3Nkir3	narrow:D	narrow:D	
DUTCH	nld	narrow	1267	narrow	nau	narrow:L	narrow:L	
MARATHI	mar	narrow	1267	narrow	3rund3	narrow:S	narrow:S	
SORBIAN_UPPER	hsb	narrow	1267	narrow	wuski	narrow:B	narrow:B	
ORIYA	ori	narrow	1267	narrow	onosaria	narrow:D	narrow:D	
SLOVENIAN	slv	narrow	1267	narrow	oz3k	narrow:B	narrow:B	
BELARUSIAN	bel	narrow	1267	narrow	vuzky~i	narrow:B	narrow:B	
ANCIENT_GREEK	grc	narrow	1267	narrow	stenos	narrow:F	narrow:F	
GREEK	ell	narrow	1267	narrow	stenos	narrow:F	narrow:F	
OLD_SWEDISH		narrow	1267	narrow	snEver	narrow:T	narrow:T	
ICELANDIC	isl	narrow	1267	narrow	8reiNgir	narrow:O	narrow:O	
SLOVAK	slk	narrow	1267	narrow	uzki	narrow:B	narrow:B	
ENGLISH	eng	narrow	1267	narrow	nEr3u	narrow:M	narrow:M	
ASSAMESE	asm	narrow	1267	narrow	thEk	narrow:A	narrow:A	
BRETON	bre	narrow	1267	narrow	stris	narrow:J	narrow:J	
ITALIAN	ita	narrow	1267	narrow	stretto	narrow:J	narrow:J	
ELFDALIAN	qov	narrow	1267	narrow	tra3Ng	narrow:O	narrow:O	
FAROESE	fao	narrow	1267	narrow	th~roNgur	narrow:O	narrow:O	
UKRAINIAN	ukr	narrow	1267	narrow	wuzy~kiy	narrow:B	narrow:B	
CZECH	ces	narrow	1267	narrow	uzki	narrow:B	narrow:B	
STAVANGERSK		narrow	1267	narrow	smal3	narrow:E	narrow:E	
NORWEGIAN_RIKSMAL	nor	narrow	1267	narrow	snew3r	narrow:T	narrow:T	
OLD_NORSE	non	narrow	1267	narrow	myor	narrow:H	narrow:H	
SPANISH	spa	narrow	1267	narrow	estreCo	narrow:J	narrow:J	
MAGAHI	mag	narrow	1267	narrow	s3kist	narrow:D	narrow:D	
OLD_CHURCH_SLAVONIC	chu	narrow	1267	narrow	tEsnu	narrow:I	narrow:I	
PORTUGUESE	por	narrow	1267	narrow	3Straitu	narrow:J	narrow:J	
OLD_IRISH	sga	narrow	1267	narrow	kuung	narrow:B	narrow:B	
MIDDLE_BRETON		narrow	1267	narrow	eNk	narrow:B	narrow:B	
GERMAN	deu	narrow	1267	narrow	EN	narrow:B	narrow:B	
DANISH_FJOLDE		narrow	1267	narrow	snew3r	narrow:T	narrow:T	
OSSETIC	oss	narrow	1267	narrow	w3ngEg	narrow:P	narrow:P	
MACEDONIAN	mkd	narrow	1267	narrow	tesEn	narrow:I	narrow:I	
LATIN	lat	narrow	1267	narrow	aNgustus	narrow:B	narrow:B	
FRENCH	fra	narrow	1267	narrow	etrwa	narrow:J	narrow:J	
URDU	urd	narrow	1267	narrow	t3N	narrow:A	narrow:A	
POLISH	pol	narrow	1267	narrow	vowsky~i	narrow:B	narrow:B	
FRISIAN	frs	narrow	1267	narrow	nou	narrow:L	narrow:L	
BULGARIAN	bul	narrow	1267	narrow	tEs3n	narrow:I	narrow:I	
SERBO-CROATIAN	srp	narrow	1267	narrow	zak	narrow:B	narrow:B	
SORBIAN_LOWER	dsb	narrow	1267	narrow	huski	narrow:B	narrow:B	
CATALAN	cat	narrow	1267	narrow	3strEt	narrow:J	narrow:J	
RUSSIAN	rus	narrow	1267	narrow	uzk3y	narrow:B	narrow:B	
OSSETIC_DIGOR	oss	narrow	1267	narrow	narag	narrow:P	narrow:P	
MIDDLE_CORNISH	cor	narrow	1267	narrow	in	narrow:B	narrow:B	
SWEDISH	swe	here	136	here	hEr	here:B	here:B	
DANISH	dan	here	136	here	hE"a	here:B	here:B	
GUTNISH_LAU		here	136	here	yEr	here:B	here:B	
OSSETIC_IRON	oss	here	136	here	am	here:Q	here:Q	
DUTCH	nld	here	136	here	hir	here:B	here:B	
MARATHI	mar	here	136	here	ith~e	here:L	here:L	
SORBIAN_UPPER	hsb	here	136	here	tu	here:N	here:N	
ORIYA	ori	here	136	here	ethi	here:L	here:L	
SLOVENIAN	slv	here	136	here	tu	here:N	here:N	
BELARUSIAN	bel	here	136	here	tut	here:N	here:N	
ANCIENT_GREEK	grc	here	136	here	entauth~a	here:D	here:D	
GREEK	ell	here	136	here	e8o	here:H	here:H	
OLD_SWEDISH		here	136	here	hEr	here:B	here:B	
ICELANDIC	isl	here	136	here	hyEr	here:B	here:B	
SLOVAK	slk	here	136	here	tu	here:N	here:N	
ENGLISH	eng	here	136	here	hi3	here:B	here:B	
BRETON	bre	here	136	here	ama	here:G	here:G	
ITALIAN	ita	here	136	here	kwi	here:B/F/J	here:B/F/J	
ELFDALIAN	qov	here	136	here	yEr	here:B	here:B	
FAROESE	fao	here	136	here	her	here:B	here:B	
UKRAINIAN	ukr	here	136	here	tut	here:N	here:N	
CZECH	ces	here	136	here	tadi	here:N	here:N	
STAVANGERSK		here	136	here	heG	here:B	here:B	
NORWEGIAN_RIKSMAL	nor	here	136	here	hEr	here:B	here:B	
OLD_NORSE	non	here	136	here	her	here:B	here:B	
SPANISH	spa	here	136	here	aki	here:B/F/J	here:B/F/J	
OLD_CHURCH_SLAVONIC	chu	here	136	here	sidE	here:B	here:B	
PORTUGUESE	por	here	136	here	aki	here:B/F/J	here:B/F/J	
OLD_IRISH	sga	here	136	here	sund	here:N	here:N	
IRISH	gle	here	136	here	3nSo	here:N	here:N	
MIDDLE_BRETON		here	136	here	aman	here:G	here:G	
GERMAN	deu	here	136	here	hia	here:B	here:B	
DANISH_FJOLDE		here	136	here	heEr	here:B	here:B	
OSSETIC	oss	here	136	here	am	here:Q	here:Q	
MACEDONIAN	mkd	here	136	here	tuka	here:N	here:N	
LATIN	lat	here	136	here	hik	here:F	here:F	
FRENCH	fra	here	136	here	isi	here:B/F/J	here:B/F/J	
URDU	urd	here	136	here	y3ha	here:J/P	here:J/P	
POLISH	pol	here	136	here	tutay	here:N	here:N	
FRISIAN	frs	here	136	here	yir	here:B	here:B	
BULGARIAN	bul	here	136	here	tuka	here:N	here:N	
SERBO-CROATIAN	srp	here	136	here	ovdyE	here:E	here:E	
SORBIAN_LOWER	dsb	here	136	here	how	here:E	here:E	
CATALAN	cat	here	136	here	3ki	here:B/F/J	here:B/F/J	
RUSSIAN	rus	here	136	here	zdy~Esy~	here:B	here:B	
OSSETIC_DIGOR	oss	here	136	here	ami	here:Q	here:Q	
MIDDLE_CORNISH	cor	here	136	here	oma	here:G	here:G	
SWEDISH	swe	child	2099	child	ban	child:K	child:K	
DANISH	dan	child	2099	child	ba"n	child:K	child:K	
GUTNISH_LAU		child	2099	child	ban	child:K	child:K	
OSSETIC_IRON	oss	child	2099	child	Sivallon	child:N	child:N	
DUTCH	nld	child	2099	child	kint	child:A	child:A	
MARATHI	mar	child	2099	child	mul	child:Av	child:Av	
SORBIAN_UPPER	hsb	child	2099	child	dZitSo	child:I	child:I	
ORIYA	ori	child	2099	child	Thua	child:Z	child:Z	
SLOVENIAN	slv	child	2099	child	otrok	child:S	child:S	
BELARUSIAN	bel	child	2099	child	dzy~itsy~a	child:I	child:I	
ANCIENT_GREEK	grc	child	2099	child	pais	child:M	child:M	
GREEK	ell	child	2099	child	pe8i	child:M	child:M	
OLD_SWEDISH		child	2099	child	barn	child:K	child:K	
ICELANDIC	isl	child	2099	child	bardn	child:K	child:K	
SLOVAK	slk	child	2099	child	CieTa	child:I	child:I	
ENGLISH	eng	child	2099	child	tSaild	child:U	child:U	
ASSAMESE	asm	child	2099	child	kesua	child:Am	child:Am	
BRETON	bre	child	2099	child	bigEl	child:H	child:H	
ITALIAN	ita	child	2099	child	fantSullo	child:L	child:L	
ELFDALIAN	qov	child	2099	child	krip	child:Bb	child:Bb	
FAROESE	fao	child	2099	child	badn	child:K	child:K	
UKRAINIAN	ukr	child	2099	child	ditina	child:I	child:I	
CZECH	ces	child	2099	child	CiTE	child:I	child:I	
STAVANGERSK		child	2099	child	badn	child:K	child:K	
NORWEGIAN_RIKSMAL	nor	child	2099	child	ban	child:K	child:K	
OLD_NORSE	non	child	2099	child	barn	child:K	child:K	
SPANISH	spa	child	2099	child	ni5o	child:J	child:J	
MAGAHI	mag	child	2099	child	l3ika	child:As	child:As	
OLD_CHURCH_SLAVONIC	chu	child	2099	child	dEti	child:I	child:I	
PORTUGUESE	por	child	2099	child	kriasa	child:G	child:G	
OLD_IRISH	sga	child	2099	child	lel3b	child:V	child:V	
IRISH	gle	child	2099	child	ly~an3w	child:V	child:V	
MIDDLE_BRETON		child	2099	child	bigel	child:H	child:H	
GERMAN	deu	child	2099	child	kint	child:A	child:A	
DANISH_FJOLDE		child	2099	child	barn	child:K	child:K	
OSSETIC	oss	child	2099	child	s3vEllon	child:N	child:N	
MACEDONIAN	mkd	child	2099	child	detE	child:I	child:I	
LATIN	lat	child	2099	child	puer	child:M	child:M	
FRENCH	fra	child	2099	child	afa	child:L	child:L	
URDU	urd	child	2099	child	b3C3h	child:F	child:F	
POLISH	pol	child	2099	child	dZEtsko	child:I	child:I	
FRISIAN	frs	child	2099	child	bEn	child:K	child:K	
BULGARIAN	bul	child	2099	child	d3tE	child:I	child:I	
CLASSICAL_ARMENIAN	xcl	child	2099	child	t3Lai	child:Be	child:Be	
ARMENIAN_EASTERN	hye	child	2099	child	manuk	child:D	child:D	
SORBIAN_LOWER	dsb	child	2099	child	g3ly~E	child:Bc	child:Bc	
CATALAN	cat	child	2099	child	nEn	child:J	child:J	
SERBO-CROATIAN	srp	child	2099	child	dyEtE	child:I	child:I	
RUSSIAN	rus	child	2099	child	ry~iby~onok	child:Bf	child:Bf	
OSSETIC_DIGOR	oss	child	2099	child	suvallon	child:N	child:N	
SWEDISH	swe	three	492	three	tre	three:A	three:A	
DANISH	dan	three	492	three	dh~GE"	three:A	three:A	
GUTNISH_LAU		three	492	three	trEi	three:A	three:A	
OSSETIC_IRON	oss	three	492	three	arta	three:A	three:A	
BIHARI	mai	three	492	three	tin	three:A	three:A	
DUTCH	nld	three	492	three	dri	three:A	three:A	
MARATHI	mar	three	492	three	tin	three:A	three:A	
SORBIAN_UPPER	hsb	three	492	three	tsi	three:A	three:A	
ORIYA	ori	three	492	three	tini	three:A	three:A	
SLOVENIAN	slv	three	492	three	tri	three:A	three:A	
BELARUSIAN	bel	three	492	three	tr3	three:A	three:A	
ANCIENT_GREEK	grc	three	492	three	tres	three:A	three:A	
GREEK	ell	three	492	three	tria	three:A	three:A	
OLD_SWEDISH		three	492	three	8rir	three:A	three:A	
ICELANDIC	isl	three	492	three	8rir	three:A	three:A	
SLOVAK	slk	three	492	three	tri	three:A	three:A	
ENGLISH	eng	three	492	three	8ri	three:A	three:A	
ASSAMESE	asm	three	492	three	tini	three:A	three:A	
ITALIAN	ita	three	492	three	tre	three:A	three:A	
ELFDALIAN	qov	three	492	three	tri	three:A	three:A	
FAROESE	fao	three	492	three	th~rudZir	three:A	three:A	
UKRAINIAN	ukr	three	492	three	tri	three:A	three:A	
CZECH	ces	three	492	three	tri	three:A	three:A	
STAVANGERSK		three	492	three	tGi	three:A	three:A	
NORWEGIAN_RIKSMAL	nor	three	492	three	tre	three:A	three:A	
OLD_NORSE	non	three	492	three	8rir	three:A	three:A	
SPANISH	spa	three	492	three	tres	three:A	three:A	
OLD_CHURCH_SLAVONIC	chu	three	492	three	triyE	three:A	three:A	
PORTUGUESE	por	three	492	three	treS	three:A	three:A	
OLD_IRISH	sga	three	492	three	tri	three:A	three:A	
IRISH	gle	three	492	three	ty~ry~i	three:A	three:A	
GERMAN	deu	three	492	three	drai	three:A	three:A	
DANISH_FJOLDE		three	492	three	trie	three:A	three:A	
OSSETIC	oss	three	492	three	ErtE	three:A	three:A	
MACEDONIAN	mkd	three	492	three	tri	three:A	three:A	
LATIN	lat	three	492	three	tres	three:A	three:A	
FRENCH	fra	three	492	three	trwa	three:A	three:A	
URDU	urd	three	492	three	tin	three:A	three:A	
POLISH	pol	three	492	three	tS3	three:A	three:A	
FRISIAN	frs	three	492	three	trEi3	three:A	three:A	
BULGARIAN	bul	three	492	three	tri	three:A	three:A	
CLASSICAL_ARMENIAN	xcl	three	492	three	erekh~	three:A	three:A	
ARMENIAN_EASTERN	hye	three	492	three	yErEkh~	three:A	three:A	
SORBIAN_LOWER	dsb	three	492	three	tSi	three:A	three:A	
CATALAN	cat	three	492	three	trEs	three:A	three:A	
SERBO-CROATIAN	srp	three	492	three	tri	three:A	three:A	
RUSSIAN	rus	three	492	three	try~i	three:A	three:A	
OSSETIC_DIGOR	oss	three	492	three	arta	three:A	three:A	
MIDDLE_CORNISH	cor	three	492	three	tr3i	three:A	three:A	
SWEDISH	swe	five	493	five	fEm	five:O	five:O	
DANISH	dan	five	493	five	fEm"	five:O	five:O	
GUTNISH_LAU		five	493	five	fEm	five:O	five:O	
OSSETIC_IRON	oss	five	493	five	fonz	five:O	five:O	
BIHARI	mai	five	493	five	paT	five:O	five:O	
DUTCH	nld	five	493	five	vEif	five:O	five:O	
MARATHI	mar	five	493	five	pats	five:O	five:O	
SORBIAN_UPPER	hsb	five	493	five	peEtS	five:O	five:O	
ORIYA	ori	five	493	five	panTo	five:O	five:O	
SLOVENIAN	slv	five	493	five	pet	five:O	five:O	
BELARUSIAN	bel	five	493	five	py~atsy~	five:O	five:O	
ANCIENT_GREEK	grc	five	493	five	pente	five:O	five:O	
GREEK	ell	five	493	five	pende	five:O	five:O	
OLD_SWEDISH		five	493	five	fEm	five:O	five:O	
ICELANDIC	isl	five	493	five	fim	five:O	five:O	
SLOVAK	slk	five	493	five	pET	five:O	five:O	
ENGLISH	eng	five	493	five	faiv	five:O	five:O	
ASSAMESE	asm	five	493	five	pas	five:O	five:O	
BRETON	bre	five	493	five	pEmp	five:O	five:O	
ITALIAN	ita	five	493	five	tSinkwe	five:O	five:O	
ELFDALIAN	qov	five	493	five	fEm	five:O	five:O	
FAROESE	fao	five	493	five	fim	five:O	five:O	
UKRAINIAN	ukr	five	493	five	pyaty~	five:O	five:O	
CZECH	ces	five	493	five	pyEt	five:O	five:O	
STAVANGERSK		five	493	five	fEm	five:O	five:O	
NORWEGIAN_RIKSMAL	nor	five	493	five	fEm	five:O	five:O	
OLD_NORSE	non	five	493	five	fim	five:O	five:O	
